countyFIPS,County Name,State,NUM_LICENSED_BEDS,NUM_ICU_BEDS
01001,Autauga County,AL,85.0,6.0
01003,Baldwin County,AL,386.0,51.0
01005,Barbour County,AL,74.0,5.0
01007,Bibb County,AL,35.0,4.0
01009,Blount County,AL,25.0,6.0
01011,Bullock County,AL,61.0,5.0
01013,Butler County,AL,72.0,7.0
01015,Calhoun County,AL,486.0,30.0
01017,Chambers County,AL,115.0,15.0
01019,Cherokee County,AL,60.0,8.0
01021,Chilton County,AL,30.0,6.0
01023,Choctaw County,AL,25.0,4.0
01025,Clarke County,AL,85.0,10.0
01027,Clay County,AL,45.0,4.0
01029,Cleburne County,AL,0.0,0.0
01031,Coffee County,AL,131.0,7.0
01033,Colbert County,AL,383.0,22.0
01035,Conecuh County,AL,58.0,8.0
01037,Coosa County,AL,0.0,0.0
01039,Covington County,AL,187.0,13.0
01041,Crenshaw County,AL,93.0,5.0
01043,Cullman County,AL,185.0,12.0
01045,Dale County,AL,89.0,6.0
01047,Dallas County,AL,175.0,23.0
01049,DeKalb County,AL,134.0,12.0
01051,Elmore County,AL,138.0,11.0
01053,Escambia County,AL,142.0,14.0
01055,Etowah County,AL,739.0,85.0
01057,Fayette County,AL,61.0,8.0
01059,Franklin County,AL,125.0,11.0
01061,Geneva County,AL,83.0,6.0
01063,Greene County,AL,20.0,4.0
01065,Hale County,AL,39.0,5.0
01067,Henry County,AL,0.0,0.0
01069,Houston County,AL,790.0,72.0
01071,Jackson County,AL,170.0,10.0
01073,Jefferson County,AL,4768.0,393.0
01075,Lamar County,AL,0.0,0.0
01077,Lauderdale County,AL,263.0,36.0
01079,Lawrence County,AL,98.0,6.0
01081,Lee County,AL,314.0,20.0
01083,Limestone County,AL,102.0,18.0
01085,Lowndes County,AL,0.0,0.0
01087,Macon County,AL,143.0,0.0
01089,Madison County,AL,1241.0,99.0
01091,Marengo County,AL,99.0,5.0
01093,Marion County,AL,120.0,8.0
01095,Marshall County,AL,150.0,20.0
01097,Mobile County,AL,1930.0,246.0
01099,Monroe County,AL,94.0,8.0
01101,Montgomery County,AL,1204.0,86.0
01103,Morgan County,AL,273.0,23.0
01105,Perry County,AL,0.0,0.0
01107,Pickens County,AL,0.0,0.0
01109,Pike County,AL,97.0,9.0
01111,Randolph County,AL,15.0,3.0
01113,Russell County,AL,128.0,10.0
01115,St. Clair County,AL,40.0,6.0
01117,Shelby County,AL,286.0,32.0
01119,Sumter County,AL,33.0,6.0
01121,Talladega County,AL,290.0,14.0
01123,Tallapoosa County,AL,127.0,14.0
01125,Tuscaloosa County,AL,1099.0,57.0
01127,Walker County,AL,267.0,12.0
01129,Washington County,AL,25.0,3.0
01131,Wilcox County,AL,30.0,4.0
01133,Winston County,AL,49.0,4.0
02013,Aleutians East Borough,AK,0.0,0.0
02016,Aleutians West Census Area,AK,0.0,0.0
02020,Municipality of Anchorage,AK,1152.0,109.0
02050,Bethel Census Area,AK,50.0,6.0
02060,Bristol Bay Borough,AK,0.0,0.0
02068,Denali Borough,AK,0.0,0.0
02070,Dillingham Census Area,AK,16.0,3.0
02090,Fairbanks North Star Borough,AK,175.0,13.0
02100,Haines Borough,AK,0.0,0.0
02105,Hoonah-Angoon Census Area,AK,0.0,0.0
02110,City and Borough of Juneau,AK,73.0,9.0
02122,Kenai Peninsula Borough,AK,77.0,11.0
02130,Ketchikan Gateway Borough,AK,25.0,4.0
02150,Kodiak Island Borough,AK,25.0,4.0
02158,Kusilvak Census Area,AK,0.0,0.0
02164,Lake and Peninsula Borough,AK,0.0,0.0
02170,Matanuska-Susitna Borough,AK,125.0,14.0
02180,Nome Census Area,AK,18.0,3.0
02185,North Slope Borough,AK,10.0,3.0
02188,Northwest Arctic Borough,AK,17.0,3.0
